Description,Co-ordinates
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.812430045460935, 144.96501543858767)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.78073362802901, 144.9510902906501)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.777124890749405, 144.95150670643167)"
Drinking Fountain - Treated Timber Drinking Fountain - Sturt Street Reserve,"(-37.829762043290245, 144.9650239066239)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Shrine of Remembrance Reserve,"(-37.829394894475676, 144.97402641133465)"
Drinking Fountain - Leaf Type - Dog Bowl  - Clayton Reserve,"(-37.79690982991827, 144.93887017448856)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82842091627398, 144.98460191449672)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.83070221524304, 144.9761109167101)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80443768421831, 144.96343052616893)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.789426340332234, 144.92521601291634)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.79166434549512, 144.95175691050537)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.82340947086067, 144.94065316721642)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.824322515713405, 144.9770544813023)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.810438177722986, 144.96409803572945)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79206873155685, 144.9297513827727)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.80241728553812, 144.97202290316702)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80719483579952, 144.97264821832775)"
Drinking fountain - Historic or Heritage fountains - University Square,"(-37.80148629857604, 144.96021621841106)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.793822787803755, 144.958038101861)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811816918335545, 144.9647358013035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81678974689995, 144.96933696934119)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.817906690815356, 144.96632571147111)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.815691536791896, 144.98226715782863)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81047950700537, 144.96434622822136)"
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,"(-37.82220232720067, 144.956603131736)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80056485451508, 144.9668454274885)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.786066078340596, 144.9630916527486)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.819376190936254, 144.96425791163875)"
Drinking Fountain - Treated Timber Drinking Fountain - Parkville Gardens (PARKVILLE),"(-37.779553322018664, 144.93984653851456)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,"(-37.794860401126186, 144.97032531494713)"
Drinking Fountain - Leaf Type - Dog Bowl  - Fawkner Park,"(-37.8386331437282, 144.97805941362765)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.813705889407565, 144.9749027278744)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Ron Barassi Senior Park,"(-37.81714667057808, 144.93410355599931)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81515985140142, 144.93712549711364)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82000241423202, 144.9437625580217)"
