Description,Co-ordinates
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81262231879966, 144.95695726799045)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,"(-37.795594738274296, 144.9691367333386)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.79148137934659, 144.95640337310826)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78073096453612, 144.95108741208116)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.807299202453336, 144.9638063589646)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81600551227767, 144.9651330881475)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.807863918393416, 144.96107434937468)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.79431438564634, 144.9302959180467)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.813892178607055, 144.9641120868484)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8188136383738, 144.942903892035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811441273333834, 144.95511626726946)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81999653119737, 144.95972671750346)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82337609495653, 144.9798517032086)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81056708776496, 144.96772094101254)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,"(-37.79735923804568, 144.97398629700336)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Powlett Reserve,"(-37.81108547106561, 144.986823716213)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78297956185507, 144.9418702885437)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.78098685657206, 144.962456506622)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81013008750712, 144.99100554178736)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81243580767888, 144.97368439844223)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81601000604859, 144.97270242239682)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.83822661704696, 144.9845757117782)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81649090115357, 144.98515748991457)"
Drinking Fountain - Leaf Type - Dog Bowl  - Neill Street Reserve,"(-37.79583501177402, 144.96807205336754)"
Drinking fountain - Historic or Heritage Drinking Fountains - Errol Street Reserve,"(-37.79923347388858, 144.95041337072755)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.807115639803214, 144.95593164435638)"
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"(-37.79686727949099, 144.952046464975)"
Drinking Fountain - Treated Timber Drinking Fountain - Hawke & Adderley St Reserve,"(-37.80879502136411, 144.94489053556552)"
Drinking Fountain - Drinking Fountain - Monument Style Type 2,"(-37.79825505675542, 144.9705660670761)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7885814426244, 144.92623154670216)"
Drinking fountain - unspecified type - Alexandra Park,"(-37.819571118805214, 144.97182464875007)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.78144167402145, 144.95595472988092)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81553989313365, 144.95836642425357)"
Drinking Fountain - Leaf Type - Dog Bowl  - Clayton Reserve,"(-37.79581789599728, 144.93892278396697)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79735380762625, 144.95284368062156)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.797011044237784, 144.96719442537855)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Docklands Park,"(-37.82089072956917, 144.94692985249003)"
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.7981300933256, 144.9217175971122)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.82018203006011, 144.96060794598628)"
Drinking Fountain - Drinking Fountain - Monument Style Type 3,"(-37.81840304050843, 144.97885934809221)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,"(-37.82514308986054, 144.97830100199906)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.78493695299493, 144.96233927588727)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82416129460037, 144.94386411864073)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.811184402608355, 144.9751861982011)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.809792956338455, 144.95510199726527)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.8452141594852, 144.98256140204748)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.83912302483119, 144.98029597307354)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8175239427856, 144.96013037555608)"
Drinking Fountain - Urban design stainless steel,"(-37.79337819173264, 144.94004830856508)"
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"(-37.818173999998734, 144.9713210153062)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80726039782801, 144.95788106825034)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81437201868546, 144.96613327636365)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.81426414724787, 144.97865144245154)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Gardens,"(-37.820518073913014, 144.97318526962457)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.80211398428, 144.97283100368065)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.815185695578855, 144.95257756009232)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81841607031649, 144.94658139539987)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.840591031294394, 144.9842020334054)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.80831892386757, 144.97445245211898)"
